Mes,TotalReserva,Noches,Reservas,TarifaNoche,Ocupacion,RevPAR
2023-01,281345405.75,6884,2161,41270.54604349838,286.8333333333333,117227.25239583333
2023-02,258222822.47,6261,1925,41389.650649350646,260.875,107592.84269583333
2023-03,245007165.78,5944,1844,41467.19360086768,247.66666666666666,102086.319075
2023-04,243032566.55,5880,1779,41725.83403597527,245.00000000000003,101263.56939583334
2023-05,193288988.84,4680,1455,41793.73625429553,195.0,80537.07868333334
2023-06,192675220.83,4746,1464,40972.98582650273,197.75,80281.34201250001
2023-07,287317295.64,6958,2148,41770.8583566108,289.91666666666663,119715.53985
2023-08,196425876.67,4780,1493,41352.62642330877,199.16666666666666,81844.11527916667
2023-09,198288359.15,4789,1480,41628.22381756757,199.54166666666666,82620.14964583334
2023-10,243306619.25,5906,1825,41543.147260273974,246.08333333333334,101377.75802083334
2023-11,244021691.98,5908,1777,41818.02757456387,246.16666666666666,101675.70499166666
2023-12,292326939.09,7018,2143,41910.71278581428,292.4166666666667,121802.8912875
