Sucursal,Categoria,MetaMargen,MetaCrecimiento
CABA_Centro,ALMACEN,27.48519211134647,13.760738916629535
CABA_Norte,ALMACEN,29.43634916154415,14.423684372359283
GBA_Sur,ALMACEN,25.75575586179134,13.229535137606423
GBA_Oeste,ALMACEN,29.28839642972944,9.940238308439108
La_Plata,ALMACEN,26.080718579658775,9.383124868522955
Rosario,ALMACEN,18.21252526432322,10.977259685704741
Córdoba,ALMACEN,21.10105213068725,14.036245744324475
Mendoza,ALMACEN,28.332639441431397,13.970577741729036
CABA_Centro,BEBIDAS,18.739286644876593,9.521483916332595
CABA_Norte,BEBIDAS,28.585825351346287,10.080873213681024
GBA_Sur,BEBIDAS,28.360022340042157,6.033838580242639
GBA_Oeste,BEBIDAS,19.367611921264356,5.143668824265447
La_Plata,BEBIDAS,27.048017909346882,9.514677015146074
Rosario,BEBIDAS,18.008939829401562,13.605598925439315
Córdoba,BEBIDAS,26.486054767034112,7.094912860866245
Mendoza,BEBIDAS,18.736257225905803,7.293783049020019
CABA_Centro,LIMPIEZA,22.23619610940137,12.04139083194443
CABA_Norte,LIMPIEZA,28.592695091275118,10.851946998059567
GBA_Sur,LIMPIEZA,26.378856498232587,13.830849450996205
GBA_Oeste,LIMPIEZA,21.47589139609843,12.229470886626578
La_Plata,LIMPIEZA,19.722575362305143,14.29934585177227
Rosario,LIMPIEZA,23.44501154915079,9.39569597838221
Córdoba,LIMPIEZA,18.25881156641112,14.299050446059619
Mendoza,LIMPIEZA,28.899632901796625,7.826258281625912
CABA_Centro,LACTEOS,18.88712364485046,8.231082462968082
CABA_Norte,LACTEOS,24.88672180371551,8.596414921626941
GBA_Sur,LACTEOS,25.225139850313873,9.998120164768553
GBA_Oeste,LACTEOS,22.292288560293606,10.835008804949233
La_Plata,LACTEOS,24.34416902573375,13.51081746093626
Rosario,LACTEOS,25.39498896778844,8.108530981531858
Córdoba,LACTEOS,26.744923612316978,9.313485362027668
Mendoza,LACTEOS,26.258993373131666,11.546967415920717
